CRASH DATETIME,BOROUGH,ORIGINAL VEHICLE,VEHICLE
2018-08-30 14:00:00,BROOKLYN,Sedan,Other
2018-08-30 14:00:00,BROOKLYN,Sedan,Other
2018-08-30 14:00:00,,Station Wagon/Sport Utility Vehicle,Other
2018-08-30 14:00:00,,Sedan,Other
2018-08-30 14:00:00,MANHATTAN,Bus,Other
2018-08-30 14:00:00,BROOKLYN,Station Wagon/Sport Utility Vehicle,Other
2018-08-30 14:00:00,BROOKLYN,Sedan,Other
2018-08-30 14:00:00,BROOKLYN,Station Wagon/Sport Utility Vehicle,Other
2018-08-30 14:00:00,QUEENS,Station Wagon/Sport Utility Vehicle,Other
2018-08-30 14:00:00,QUEENS,Station Wagon/Sport Utility Vehicle,Other
2018-08-30 14:00:00,QUEENS,Station Wagon/Sport Utility Vehicle,Other
2018-08-30 14:00:00,BROOKLYN,Sedan,Other
2018-08-30 14:00:00,,Pick-up Truck,Other
2018-08-30 14:00:00,BRONX,Sedan,Other
2018-08-30 14:00:00,BROOKLYN,Sedan,Other
2018-08-30 14:00:00,QUEENS,Sedan,Other
2018-08-30 14:00:00,,Sedan,Other
2018-08-30 14:00:00,BROOKLYN,Station Wagon/Sport Utility Vehicle,Other
2018-08-30 14:00:00,QUEENS,Station Wagon/Sport Utility Vehicle,Other
2018-08-30 14:00:00,MANHATTAN,Sedan,Other
2018-08-30 14:00:00,STATEN ISLAND,Sedan,Other
2018-08-30 14:00:00,QUEENS,Sedan,Other
2018-08-30 14:00:00,STATEN ISLAND,Sedan,Other
2018-08-30 14:00:00,QUEENS,Taxi,Taxi
2018-08-30 14:00:00,BRONX,Bus,Other
2018-08-30 14:00:00,BROOKLYN,Station Wagon/Sport Utility Vehicle,Other
2018-08-30 14:00:00,MANHATTAN,Ambulance,Ambulance
2018-08-30 14:00:00,,Sedan,Other
2018-08-30 14:00:00,BRONX,Sedan,Other
2018-08-30 14:00:00,,Station Wagon/Sport Utility Vehicle,Other
2018-08-30 14:00:00,QUEENS,Sedan,Other
2018-08-30 14:00:00,,Sedan,Other
2018-08-30 14:00:00,STATEN ISLAND,Station Wagon/Sport Utility Vehicle,Other
2018-08-30 14:00:00,MANHATTAN,Station Wagon/Sport Utility Vehicle,Other
2018-08-30 14:00:00,,Station Wagon/Sport Utility Vehicle,Other
2018-08-30 14:00:00,BROOKLYN,Sedan,Other
2018-08-30 14:00:00,,Station Wagon/Sport Utility Vehicle,Other
2018-08-30 14:00:00,MANHATTAN,Tractor Truck Diesel,Other
2018-08-30 14:00:00,,Station Wagon/Sport Utility Vehicle,Other
2018-08-30 14:00:00,BRONX,Sedan,Other
2018-08-30 14:00:00,,Sedan,Other
2018-09-18 21:00:00,QUEENS,Pick-up Truck,Other
2018-09-18 21:00:00,MANHATTAN,Sedan,Other
2018-09-18 21:00:00,MANHATTAN,Van,Other
2018-09-18 21:00:00,MANHATTAN,Taxi,Taxi
2018-09-18 21:00:00,BROOKLYN,Station Wagon/Sport Utility Vehicle,Other
2018-09-18 21:00:00,,Station Wagon/Sport Utility Vehicle,Other
2018-09-18 21:00:00,MANHATTAN,Van,Other
2018-09-18 21:00:00,,Bike,Other
2018-09-18 21:00:00,,Station Wagon/Sport Utility Vehicle,Other
2018-09-18 21:00:00,,Sedan,Other
2018-09-18 21:00:00,BROOKLYN,Sedan,Other
2018-09-18 21:00:00,BROOKLYN,Taxi,Taxi
2018-09-18 21:00:00,BRONX,Station Wagon/Sport Utility Vehicle,Other
2018-09-18 21:00:00,QUEENS,Box Truck,Other
2018-09-18 21:00:00,MANHATTAN,Taxi,Taxi
2018-09-18 21:00:00,QUEENS,Sedan,Other
2018-09-18 21:00:00,BROOKLYN,Sedan,Other
2018-09-18 21:00:00,,Taxi,Taxi
2018-09-18 21:00:00,BROOKLYN,Station Wagon/Sport Utility Vehicle,Other
2018-09-18 21:00:00,BROOKLYN,Sedan,Other
2018-09-18 21:00:00,BROOKLYN,Convertible,Other
2018-09-18 21:00:00,BRONX,Station Wagon/Sport Utility Vehicle,Other
2018-09-18 21:00:00,BRONX,Motorcycle,Other
2018-09-18 21:00:00,STATEN ISLAND,Sedan,Other
2018-09-08 21:00:00,QUEENS,Station Wagon/Sport Utility Vehicle,Other
2018-09-08 21:00:00,QUEENS,Sedan,Other
2018-09-08 21:00:00,MANHATTAN,Sedan,Other
2018-09-08 21:00:00,BRONX,Sedan,Other
2018-09-08 21:00:00,,Pick-up Truck,Other
2018-09-08 21:00:00,BROOKLYN,Station Wagon/Sport Utility Vehicle,Other
2018-09-08 21:00:00,QUEENS,Sedan,Other
2018-09-08 21:00:00,BROOKLYN,Pick-up Truck,Other
2018-09-08 21:00:00,,Station Wagon/Sport Utility Vehicle,Other
2018-09-08 21:00:00,QUEENS,Sedan,Other
2018-09-08 21:00:00,BRONX,Station Wagon/Sport Utility Vehicle,Other
2018-09-08 21:00:00,,Sedan,Other
2018-09-08 21:00:00,MANHATTAN,Sedan,Other
2018-09-08 21:00:00,,Station Wagon/Sport Utility Vehicle,Other
2018-09-08 21:00:00,,Sedan,Other
