CRASH DATETIME,CRASH DAY,CRASH WEEK NUMBER,CRASH WEEKDAY,BOROUGH,VEHICLE,VEHICLE EMOJI,WEATHER,WEATHER EMOJI,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,ORIGINAL FACTOR,FACTOR,HOUR,VALID,MONTH,DAY,CRASH HOUR,LOCATION AT HOUR
2018-08-30 14:00:00,2018-08-30,35,Thu,Queens,Taxi,🚕,Rainy,🌧,0.0,0.0,Unspecified,Unspecified,14,1,August,30,14:00H,"Queens, 14:00H"
2018-08-30 14:00:00,2018-08-30,35,Thu,Manhattan,Ambulance,🚑,Rainy,🌧,0.0,0.0,View Obstructed/Limited,Environmental Factors,14,1,August,30,14:00H,"Manhattan, 14:00H"
2018-08-30 04:00:00,2018-08-30,35,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,4,1,August,30,04:00H,"Manhattan, 04:00H"
2018-08-30 10:00:00,2018-08-30,35,Thu,,Taxi,🚕,Rainy,🌧,3.0,0.0,Following Too Closely,Driving Infraction,10,1,August,30,10:00H,
2018-08-30 16:00:00,2018-08-30,35,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Unspecified,Unspecified,16,1,August,30,16:00H,"Manhattan, 16:00H"
2018-08-30 17:00:00,2018-08-30,35,Thu,Bronx,Taxi,🚕,Rainy,🌧,2.0,0.0,View Obstructed/Limited,Environmental Factors,17,1,August,30,17:00H,"Bronx, 17:00H"
2018-08-30 17:00:00,2018-08-30,35,Thu,Manhattan,Ambulance,🚑,Rainy,🌧,0.0,0.0,Other Vehicular,Unspecified,17,1,August,30,17:00H,"Manhattan, 17:00H"
2018-08-30 17:00:00,2018-08-30,35,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,17,1,August,30,17:00H,"Manhattan, 17:00H"
2018-08-30 21:00:00,2018-08-30,35,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Failure to Yield Right-of-Way,Driving Infraction,21,1,August,30,21:00H,"Manhattan, 21:00H"
2018-08-30 18:00:00,2018-08-30,35,Thu,Brooklyn,Taxi,🚕,Rainy,🌧,0.0,0.0,Passing Too Closely,Driving Infraction,18,1,August,30,18:00H,"Brooklyn, 18:00H"
2018-08-30 22:00:00,2018-08-30,35,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Passing or Lane Usage Improper,Driving Infraction,22,1,August,30,22:00H,"Manhattan, 22:00H"
2018-08-30 22:00:00,2018-08-30,35,Thu,Bronx,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,22,1,August,30,22:00H,"Bronx, 22:00H"
2018-08-30 15:00:00,2018-08-30,35,Thu,Bronx,Ambulance,🚑,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,15,1,August,30,15:00H,"Bronx, 15:00H"
2018-08-30 12:00:00,2018-08-30,35,Thu,Manhattan,Taxi,🚕,Rainy,🌧,1.0,0.0,Failure to Yield Right-of-Way,Driving Infraction,12,1,August,30,12:00H,"Manhattan, 12:00H"
2018-08-30 12:00:00,2018-08-30,35,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Failure to Yield Right-of-Way,Driving Infraction,12,1,August,30,12:00H,"Manhattan, 12:00H"
2018-08-30 09:00:00,2018-08-30,35,Thu,,Taxi,🚕,Rainy,🌧,0.0,0.0,Passing Too Closely,Driving Infraction,9,1,August,30,09:00H,
2018-08-30 11:00:00,2018-08-30,35,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Following Too Closely,Driving Infraction,11,1,August,30,11:00H,"Manhattan, 11:00H"
2018-08-30 11:00:00,2018-08-30,35,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Unspecified,Unspecified,11,1,August,30,11:00H,"Manhattan, 11:00H"
2018-08-30 07:00:00,2018-08-30,35,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Passing or Lane Usage Improper,Driving Infraction,7,1,August,30,07:00H,"Manhattan, 07:00H"
2018-08-30 19:00:00,2018-08-30,35,Thu,Brooklyn,Taxi,🚕,Rainy,🌧,0.0,0.0,Passing or Lane Usage Improper,Driving Infraction,19,1,August,30,19:00H,"Brooklyn, 19:00H"
2018-08-30 19:00:00,2018-08-30,35,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,19,1,August,30,19:00H,"Manhattan, 19:00H"
2018-08-30 19:00:00,2018-08-30,35,Thu,Manhattan,Taxi,🚕,Rainy,🌧,2.0,0.0,Following Too Closely,Driving Infraction,19,1,August,30,19:00H,"Manhattan, 19:00H"
2018-08-30 19:00:00,2018-08-30,35,Thu,Bronx,Taxi,🚕,Rainy,🌧,1.0,0.0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian Error,19,1,August,30,19:00H,"Bronx, 19:00H"
