station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
NYC,2020-06-01 00:51,63.00,30.90,29.77,M,M,0.00,30.14,1019.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,63.00,KNYC 010051Z AUTO 10SM CLR 17/M01 A3014 RMK AO2 SLP197 T01721006 $,M
NYC,2020-06-01 01:51,61.00,30.90,31.95,M,M,0.00,30.18,1020.90,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,61.00,KNYC 010151Z AUTO 10SM CLR 16/M01 A3018 RMK AO2 SLP209 T01611006 $,M
NYC,2020-06-01 02:51,59.00,32.00,35.87,M,M,0.00,30.20,1021.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,KNYC 010251Z AUTO 10SM CLR 15/00 A3020 RMK AO2 SLP218 T01500000 53029 $,M
NYC,2020-06-01 03:51,57.00,33.00,40.28,M,M,0.00,30.22,1022.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.00,KNYC 010351Z AUTO 10SM CLR 14/01 A3022 RMK AO2 SLP223 T01390006 $,M
NYC,2020-06-01 04:51,56.00,32.00,40.10,M,M,0.00,30.22,1022.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.90,KNYC 010451Z AUTO 10SM CLR 13/00 A3022 RMK AO2 SLP223 T01330000 402110133 $,M
NYC,2020-06-01 05:51,55.00,33.00,43.31,M,M,0.00,30.22,1022.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.00,KNYC 010551Z AUTO 10SM CLR 13/01 A3022 RMK AO2 SLP224 T01280006 10178 20128 51006 $,M
NYC,2020-06-01 06:51,54.00,32.00,42.98,M,M,0.00,30.23,1022.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,54.00,KNYC 010651Z AUTO 10SM CLR 12/00 A3023 RMK AO2 SLP226 T01220000 $,M
NYC,2020-06-01 07:51,53.00,33.00,46.42,M,M,0.00,30.22,1022.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.10,KNYC 010751Z AUTO 10SM CLR 12/01 A3022 RMK AO2 SLP225 T01170006 $,M
NYC,2020-06-01 08:51,52.00,34.00,50.12,M,M,0.00,30.23,1022.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,52.00,KNYC 010851Z AUTO 10SM CLR 11/01 A3023 RMK AO2 SLP228 T01110011 53004 $,M
NYC,2020-06-01 09:51,52.00,34.00,50.12,M,M,0.00,30.25,1023.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,52.00,KNYC 010951Z AUTO 10SM CLR 11/01 A3025 RMK AO2 SLP234 T01110011 $,M
NYC,2020-06-01 10:51,52.00,35.00,52.36,M,M,0.00,30.27,1024.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,52.00,KNYC 011051Z AUTO 10SM CLR 11/02 A3027 RMK AO2 SLP241 T01110017 $,M
NYC,2020-06-01 11:51,54.00,35.00,48.65,M,M,0.00,30.28,1024.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,54.00,KNYC 011151Z AUTO 10SM CLR 12/02 A3028 RMK AO2 SLP244 T01220017 10128 20106 51016 $,M
NYC,2020-06-01 12:51,56.00,36.00,47.05,M,M,0.00,30.29,1024.70,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,55.90,KNYC 011251Z AUTO 10SM FEW110 13/02 A3029 RMK AO2 SLP247 T01330022 $,M
NYC,2020-06-01 13:51,59.00,35.00,40.61,M,M,0.00,30.27,1024.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,KNYC 011351Z AUTO 10SM CLR 15/02 A3027 RMK AO2 SLP243 T01500017 $,M
NYC,2020-06-01 14:51,62.00,37.00,39.21,M,M,0.00,30.26,1023.70,10.00,M,FEW,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,62.10,KNYC 011451Z AUTO 10SM FEW060 17/03 A3026 RMK AO2 SLP237 T01670028 58007 $,M
NYC,2020-06-01 15:51,64.00,37.00,36.68,M,M,0.00,30.23,1022.60,10.00,M,SCT,SCT,M,M,6000.00,8000.00,M,M,M,M,M,M,M,M,M,64.00,KNYC 011551Z AUTO 10SM SCT060 SCT080 18/03 A3023 RMK AO2 SLP226 T01780028 $,M
NYC,2020-06-01 16:51,63.00,37.00,37.99,M,M,0.00,30.19,1021.50,10.00,M,BKN,BKN,M,M,7000.00,9000.00,M,M,M,M,M,M,M,M,M,63.00,KNYC 011651Z AUTO 10SM BKN070 BKN090 17/03 A3019 RMK AO2 SLP215 T01720028 $,M
NYC,2020-06-01 17:51,68.00,37.00,31.92,M,M,0.00,30.17,1020.60,10.00,M,FEW,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,68.00,KNYC 011751Z AUTO 10SM FEW070 20/03 A3017 RMK AO2 SLP206 T02000028 10200 20122 56031 $,M
NYC,2020-06-01 18:51,67.00,38.00,34.35,M,M,0.00,30.15,1019.90,10.00,M,SCT,BKN,M,M,7000.00,10000.00,M,M,M,M,M,M,M,M,M,66.90,KNYC 011851Z AUTO 10SM SCT070 BKN100 19/03 A3015 RMK AO2 SLP199 T01940033 $,M
NYC,2020-06-01 19:51,69.00,34.00,27.29,M,M,0.00,30.12,1019.00,10.00,M,SCT,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,69.10,KNYC 011951Z AUTO 10SM SCT090 21/01 A3012 RMK AO2 SLP190 T02060011 $,M
NYC,2020-06-01 20:51,69.00,34.00,27.29,M,M,0.00,30.11,1018.80,10.00,M,SCT,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,69.10,KNYC 012051Z AUTO 10SM SCT090 21/01 A3011 RMK AO2 SLP188 T02060011 56017 $,M
NYC,2020-06-01 21:51,69.00,34.00,27.29,M,M,0.00,30.09,1017.90,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,69.10,KNYC 012151Z AUTO 10SM FEW110 21/01 A3009 RMK AO2 SLP179 T02060011 $,M
NYC,2020-06-01 22:51,68.00,35.00,29.61,M,M,0.00,30.11,1018.60,10.00,M,BKN,OVC,M,M,9000.00,11000.00,M,M,M,M,M,M,M,M,M,68.00,KNYC 012251Z AUTO 10SM BKN090 OVC110 20/02 A3011 RMK AO2 SLP186 T02000017 $,M
NYC,2020-06-01 23:51,68.00,35.00,29.61,M,M,0.00,30.12,1018.90,10.00,M,BKN,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,68.00,KNYC 012351Z AUTO 10SM BKN100 20/02 A3012 RMK AO2 SLP189 T02000017 10211 20183 53000 $,M
NYC,2020-06-02 00:51,66.00,35.00,31.73,M,M,0.00,30.12,1018.90,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,66.00,KNYC 020051Z AUTO 10SM SCT120 19/02 A3012 RMK AO2 SLP189 T01890017 $,M
NYC,2020-06-02 01:51,63.00,37.00,37.99,M,M,0.00,30.13,1019.30,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,63.00,KNYC 020151Z AUTO 10SM BKN120 17/03 A3013 RMK AO2 SLP193 T01720028 $,M
NYC,2020-06-02 02:51,62.00,41.00,45.84,M,M,0.00,30.13,1019.30,10.00,M,OVC,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,62.10,KNYC 020251Z AUTO 10SM OVC120 17/05 A3013 RMK AO2 SLP193 T01670050 50004 $,M
NYC,2020-06-02 03:51,61.00,39.00,44.10,M,M,0.00,30.12,1019.20,10.00,M,FEW,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,61.00,KNYC 020351Z AUTO 10SM FEW095 16/04 A3012 RMK AO2 SLP192 T01610039 $,M
NYC,2020-06-02 04:51,60.00,37.00,42.09,M,M,0.00,30.11,1018.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.10,KNYC 020451Z AUTO 10SM CLR 16/03 A3011 RMK AO2 SLP187 T01560028 402110106 $,M
NYC,2020-06-02 05:51,61.00,39.00,44.10,M,M,0.00,30.10,1018.40,10.00,M,FEW,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,61.00,KNYC 020551Z AUTO 10SM FEW090 16/04 A3010 RMK AO2 SLP184 T01610039 10206 20156 58009 $,M
NYC,2020-06-02 06:51,60.00,43.00,53.15,M,M,0.00,30.09,1018.00,10.00,M,FEW,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,60.10,KNYC 020651Z AUTO 10SM FEW095 16/06 A3009 RMK AO2 SLP180 T01560061 $,M
NYC,2020-06-02 07:51,60.00,43.00,53.15,M,M,0.00,30.08,1017.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.10,KNYC 020751Z AUTO 10SM CLR 16/06 A3008 RMK AO2 SLP178 T01560061 $,M
NYC,2020-06-02 08:51,59.00,43.00,55.28,M,M,0.00,30.09,1018.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,KNYC 020851Z AUTO 10SM CLR 15/06 A3009 RMK AO2 SLP180 T01500061 55004 $,M
NYC,2020-06-02 09:51,61.00,39.00,44.10,M,M,0.00,30.10,1018.20,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,61.00,KNYC 020951Z AUTO 10SM BKN110 16/04 A3010 RMK AO2 SLP182 T01610039 $,M
NYC,2020-06-02 10:51,61.00,42.00,49.73,M,M,0.00,30.09,1018.20,10.00,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,61.00,KNYC 021051Z AUTO 10SM FEW100 16/06 A3009 RMK AO2 SLP182 T01610056 $,M
NYC,2020-06-02 11:51,63.00,42.00,46.34,M,M,0.00,30.08,1017.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,63.00,KNYC 021151Z AUTO 10SM CLR 17/06 A3008 RMK AO2 SLP178 T01720056 10178 20150 58002 $,M
NYC,2020-06-02 12:51,64.00,45.00,49.99,M,M,0.00,30.08,1017.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.00,KNYC 021251Z AUTO 10SM CLR 18/07 A3008 RMK AO2 SLP176 T01780072 $,M
NYC,2020-06-02 13:51,66.00,44.00,45.05,M,M,0.00,30.07,1017.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.00,KNYC 021351Z AUTO 10SM CLR 19/07 A3007 RMK AO2 SLP173 T01890067 $,M
NYC,2020-06-02 14:51,68.00,45.00,43.51,M,M,0.00,30.05,1016.50,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,68.00,KNYC 021451Z AUTO 10SM FEW110 20/07 A3005 RMK AO2 SLP165 T02000072 58013 $,M
NYC,2020-06-02 15:51,69.00,45.00,41.90,M,M,0.00,30.04,1016.30,10.00,M,SCT,OVC,M,M,6000.00,10000.00,M,M,M,M,M,M,M,M,M,69.10,KNYC 021551Z AUTO 10SM SCT060 OVC100 21/07 A3004 RMK AO2 SLP163 T02060072 $,M
NYC,2020-06-02 16:51,70.00,45.00,40.63,M,M,0.00,30.01,1015.40,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,70.00,KNYC 021651Z AUTO 10SM OVC100 21/07 A3001 RMK AO2 SLP154 T02110072 $,M
NYC,2020-06-02 17:51,71.00,43.00,36.25,M,M,0.00,29.98,1014.30,10.00,M,SCT,OVC,M,M,9000.00,11000.00,M,M,M,M,M,M,M,M,M,71.10,KNYC 021751Z AUTO 10SM SCT090 OVC110 22/06 A2998 RMK AO2 SLP143 T02170061 10222 20167 58022 $,M
NYC,2020-06-02 18:51,71.60,44.60,37.89,M,M,0.00,29.95,1013.40,10.00,M,BKN,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,71.60,KNYC 021851Z AUTO 10SM BKN095 22/07 A2995 RMK AO2 SLP134,M
NYC,2020-06-02 19:51,71.00,43.00,36.25,M,M,0.00,29.92,1012.20,10.00,M,FEW,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,71.10,KNYC 021951Z AUTO 10SM FEW085 22/06 A2992 RMK AO2 SLP122 T02170061 $,M
NYC,2020-06-02 20:51,72.00,42.00,33.97,M,M,0.00,29.89,1011.20,10.00,M,SCT,BKN,M,M,7500.00,9000.00,M,M,M,M,M,M,M,M,M,72.00,KNYC 022051Z AUTO 10SM SCT075 BKN090 22/06 A2989 RMK AO2 SLP112 T02220056 57031 $,M
