station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
NYC,2018-06-01 00:14,66.00,64.00,93.26,0.00,0.00,0.00,29.96,M,2.00,M,OVC,M,M,M,300.00,M,M,M,BR,M,M,M,M,M,M,66.00,KNYC 010014Z AUTO 00000KT 2SM BR OVC003 19/18 A2996 RMK AO2 T01890178 $,M
NYC,2018-06-01 00:51,65.00,64.00,96.90,0.00,0.00,0.00,29.96,1013.70,2.00,M,OVC,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,64.90,KNYC 010051Z AUTO 00000KT 2SM BR OVC002 18/18 A2996 RMK AO2 SLP137 T01830178 $,M
NYC,2018-06-01 01:51,65.00,64.00,96.90,0.00,0.00,0.00,29.96,1013.80,2.00,M,OVC,M,M,M,300.00,M,M,M,BR,M,M,M,M,M,M,64.90,KNYC 010151Z AUTO 00000KT 2SM BR OVC003 18/18 A2996 RMK AO2 SLP138 T01830178 $,M
NYC,2018-06-01 02:48,64.40,64.40,100.00,150.00,4.00,0.00,29.95,M,3.00,M,OVC,M,M,M,300.00,M,M,M,BR,M,M,M,M,M,M,64.40,KNYC 010248Z AUTO 15004KT 3SM BR OVC003 18/18 A2995 RMK AO2 $,M
NYC,2018-06-01 02:51,65.00,64.00,96.90,0.00,0.00,0.00,29.95,1013.30,3.00,M,OVC,M,M,M,300.00,M,M,M,BR,M,M,M,M,M,M,64.90,KNYC 010251Z AUTO 00000KT 3SM BR OVC003 18/18 A2995 RMK AO2 SLP133 T01830178 58005 $,M
NYC,2018-06-01 03:51,66.00,64.00,93.26,0.00,0.00,0.00,29.94,1012.80,3.00,M,OVC,M,M,M,300.00,M,M,M,BR,M,M,M,M,M,M,66.00,KNYC 010351Z AUTO 00000KT 3SM BR OVC003 19/18 A2994 RMK AO2 SLP128 T01890178 $,M
NYC,2018-06-01 04:51,65.00,64.00,96.90,0.00,0.00,0.00,29.92,1012.20,3.00,M,OVC,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,64.90,KNYC 010451Z AUTO 00000KT 3SM BR OVC002 18/18 A2992 RMK AO2 SLP122 T01830178 402000172 $,M
NYC,2018-06-01 05:51,66.00,64.00,93.26,M,3.00,0.00,29.90,1011.70,3.00,M,OVC,M,M,M,400.00,M,M,M,BR,M,M,M,M,M,M,66.00,KNYC 010551Z VRB03KT 3SM BR OVC004 19/18 A2990 RMK AO2 SLP117 T01890178 10189 20183 58016 $,M
NYC,2018-06-01 06:12,66.00,65.00,96.24,0.00,0.00,0.00,29.90,M,2.50,M,OVC,M,M,M,300.00,M,M,M,BR,M,M,M,M,M,M,66.00,KNYC 010612Z 00000KT 2 1/2SM BR OVC003 19/18 A2990 RMK AO2 T01890183 $,M
NYC,2018-06-01 06:42,66.00,65.00,96.24,80.00,3.00,0.00,29.89,M,1.25,M,OVC,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,66.00,KNYC 010642Z 08003KT 1 1/4SM BR OVC002 19/18 A2989 RMK AO2 T01890183 $,M
NYC,2018-06-01 06:51,66.00,65.00,96.24,0.00,0.00,0.00,29.88,1011.00,0.75,M,OVC,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,66.00,KNYC 010651Z 00000KT 3/4SM BR OVC002 19/18 A2988 RMK AO2 SLP110 T01890183 $,M
NYC,2018-06-01 07:08,66.00,65.00,96.24,M,3.00,0.00,29.88,M,1.00,M,VV ,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,66.00,KNYC 010708Z VRB03KT 1SM BR VV002 19/18 A2988 RMK AO2 T01890183 $,M
NYC,2018-06-01 07:38,66.00,65.00,96.24,0.00,0.00,0.00,29.86,M,0.75,M,VV ,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,66.00,KNYC 010738Z 00000KT 3/4SM BR VV002 19/18 A2986 RMK AO2 T01890183 $,M
NYC,2018-06-01 07:51,66.00,65.00,96.24,0.00,0.00,0.00,29.86,1010.30,1.00,M,VV ,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,66.00,KNYC 010751Z 00000KT 1SM BR VV002 19/18 A2986 RMK AO2 SLP103 T01890183 $,M
NYC,2018-06-01 08:47,66.20,64.40,93.92,0.00,0.00,0.00,29.86,M,2.50,M,OVC,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,66.20,KNYC 010847Z 00000KT 2 1/2SM BR OVC002 19/18 A2986 RMK AO2 $,M
NYC,2018-06-01 08:51,66.00,65.00,96.24,0.00,0.00,0.00,29.86,1010.10,2.50,M,OVC,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,66.00,KNYC 010851Z 00000KT 2 1/2SM BR OVC002 19/18 A2986 RMK AO2 SLP101 T01890183 56009 $,M
NYC,2018-06-01 09:39,66.00,65.00,96.24,0.00,0.00,T,29.86,M,1.75,M,OVC,M,M,M,200.00,M,M,M,-RA BR,M,M,M,M,M,M,66.00,KNYC 010939Z 00000KT 1 3/4SM -RA BR OVC002 19/18 A2986 RMK AO2 RAB26 P0000 T01890183 $,M
NYC,2018-06-01 09:51,66.00,65.00,96.24,0.00,0.00,0.01,29.86,1010.30,1.50,M,OVC,M,M,M,200.00,M,M,M,-RA BR,M,M,M,M,M,M,66.00,KNYC 010951Z 00000KT 1 1/2SM -RA BR OVC002 19/18 A2986 RMK AO2 RAB26 SLP103 P0001 T01890183 $,M
