valid,tmpf,relh,sknt,p01i,vsby
2018-06-01 00:00:00,18.61111111111111,95.08000000000001,0.0,0.0,3.218688
2018-06-01 01:00:00,18.333333333333332,96.9,0.0,0.0,3.218688
2018-06-01 02:00:00,18.166666666666668,98.45,3.704,0.0,4.828032
2018-06-01 03:00:00,18.88888888888889,93.26,0.0,0.0,4.828032
2018-06-01 04:00:00,18.333333333333332,96.9,0.0,0.0,4.828032
2018-06-01 05:00:00,18.88888888888889,93.26,5.556,0.0,4.828032
2018-06-01 06:00:00,18.88888888888889,96.24,1.852,0.0,2.414016
2018-06-01 07:00:00,18.88888888888889,96.24,1.852,0.0,1.475232
2018-06-01 08:00:00,18.944444444444443,95.08,0.0,0.0,4.02336
2018-06-01 09:00:00,18.88888888888889,96.24,0.0,0.01905,2.615184
2018-06-01 10:00:00,18.916666666666668,95.66,0.0,0.012700000000000001,3.7216080000000002
2018-06-01 11:00:00,19.194444444444443,95.095,2.778,0.012700000000000001,3.5204400000000002
2018-06-01 12:00:00,19.444444444444443,96.93,0.0,0.050800000000000005,4.02336
2018-06-01 13:00:00,20.0,93.32,0.0,0.0,5.632704
2018-06-01 14:00:00,20.925925925925927,91.78666666666668,0.0,0.0,7.5102720000000005
2018-06-01 15:00:00,23.61111111111111,80.34,5.556,0.0,8.04672
2018-06-01 16:00:00,25.27777777777778,72.8,5.556,0.0,8.851392
2018-06-01 17:00:00,27.22222222222222,67.18,0.0,0.0,11.265408
2018-06-01 18:00:00,25.555555555555557,74.17,0.0,0.0,11.265408
2018-06-01 19:00:00,26.11111111111111,72.845,2.778,0.0,9.656064
2018-06-01 20:00:00,26.666666666666668,69.18,5.556,0.0,9.656064
2018-06-01 21:00:00,26.666666666666668,71.35,5.556,0.0,9.656064
2018-06-01 22:00:00,25.0,76.62,0.0,0.0,9.656064
2018-06-01 23:00:00,23.88888888888889,78.86,0.0,0.0,8.04672
2018-06-02 00:00:00,22.77777777777778,87.59,0.0,0.0,12.874752
2018-06-02 01:00:00,22.77777777777778,87.59,0.0,0.0,11.265408
2018-06-02 02:00:00,22.22222222222222,90.59,0.0,0.0,9.656064
2018-06-02 03:00:00,23.166666666666668,86.74000000000001,3.704,0.0,9.656064
2018-06-02 04:00:00,22.083333333333332,94.1525,1.852,0.4445,2.212848
2018-06-02 05:00:00,21.666666666666668,95.34666666666665,5.556,0.0,5.230368
2018-06-02 06:00:00,21.666666666666668,93.4,7.408,0.0,6.437376
2018-06-02 07:00:00,21.11111111111111,93.37,9.26,0.0,16.09344
2018-06-02 08:00:00,21.11111111111111,93.37,5.556,0.0,16.09344
2018-06-02 09:00:00,20.555555555555557,92.71,5.556,0.0,16.09344
2018-06-02 10:00:00,21.11111111111111,93.37,0.0,0.0,16.09344
2018-06-02 11:00:00,22.77777777777778,87.59,0.0,0.0,16.09344
2018-06-02 12:00:00,24.444444444444443,76.53,0.0,0.0,16.09344
2018-06-02 13:00:00,26.11111111111111,71.72,0.0,0.0,16.09344
2018-06-02 14:00:00,27.22222222222222,64.69,7.408,0.0,16.09344
2018-06-02 15:00:00,28.88888888888889,60.95,0.0,0.0,16.09344
2018-06-02 16:00:00,28.88888888888889,60.95,9.26,0.0,16.09344
2018-06-02 17:00:00,27.77777777777778,62.62,9.26,0.0,16.09344
2018-06-02 18:00:00,30.555555555555557,53.15,11.112,0.0,16.09344
2018-06-02 19:00:00,29.444444444444443,57.02,10.186,0.0,16.09344
2018-06-02 20:00:00,28.88888888888889,58.69,9.26,0.0,16.09344
2018-06-02 21:00:00,28.88888888888889,58.69,5.556,0.0,16.09344
2018-06-02 22:00:00,27.22222222222222,56.3,7.408,0.0,16.09344
2018-06-02 23:00:00,26.11111111111111,60.11,9.26,0.0,16.09344
2018-06-03 00:00:00,25.555555555555557,68.49,5.556,0.0,16.09344
2018-06-03 01:00:00,25.0,72.405,5.556,0.0,16.09344
2018-06-03 02:00:00,22.09259259259259,90.99666666666667,8.334,0.09313333333333335,13.008864
2018-06-03 03:00:00,21.11111111111111,86.88,7.408,0.004233333333333334,16.09344
2018-06-03 04:00:00,20.27777777777778,85.83500000000001,9.26,0.021166666666666667,12.07008
2018-06-03 05:00:00,17.777777777777775,91.25999999999999,9.26,0.050800000000000005,15.020544000000001
2018-06-03 06:00:00,17.22222222222222,86.77,12.964,0.025400000000000002,16.09344
2018-06-03 07:00:00,16.944444444444443,82.06,7.4079999999999995,0.0,16.09344
2018-06-03 08:00:00,16.666666666666668,80.11,9.26,0.0,16.09344
2018-06-03 09:00:00,16.666666666666668,69.46,11.112,0.0,16.09344
2018-06-03 10:00:00,16.666666666666668,64.5,20.372,0.0,16.09344
2018-06-03 11:00:00,16.666666666666668,61.91,9.26,0.0,16.09344
2018-06-03 12:00:00,16.666666666666668,69.625,6.482,0.0,16.09344
2018-06-03 13:00:00,16.11111111111111,75.2,11.112,0.0,16.09344
2018-06-03 14:00:00,16.833333333333336,72.35499999999999,14.816,0.0,16.09344
2018-06-03 15:00:00,16.666666666666668,72.33,12.964,0.0,16.09344
2018-06-03 16:00:00,16.11111111111111,72.22,11.112,0.0,16.09344
2018-06-03 17:00:00,16.666666666666668,67.19,5.556,0.0,16.09344
2018-06-03 18:00:00,16.666666666666668,69.46,0.0,0.0,16.09344
2018-06-03 19:00:00,17.22222222222222,67.29,5.556,0.0,16.09344
2018-06-03 20:00:00,16.11111111111111,72.22,5.556,0.0,16.09344
2018-06-03 21:00:00,16.48148148148148,68.83666666666666,8.642666666666667,0.0,16.09344
2018-06-03 22:00:00,15.833333333333332,67.06,12.038,0.0,16.09344
2018-06-03 23:00:00,15.0,69.12,10.186,0.0,16.09344
2018-06-04 00:00:00,13.88888888888889,71.81,11.112,0.0,16.09344
2018-06-04 01:00:00,13.88888888888889,68.9,7.408,0.0,16.09344
2018-06-04 02:00:00,11.296296296296296,91.72666666666667,10.494666666666667,0.10160000000000001,5.900928
2018-06-04 03:00:00,11.11111111111111,92.86,3.704,0.0381,12.07008
2018-06-04 04:00:00,11.088888888888889,92.998,2.5928,0.2286,4.1038272000000005
2018-06-04 05:00:00,10.833333333333332,94.435,8.334,0.025400000000000002,11.265408
2018-06-04 06:00:00,10.972222222222221,93.64750000000001,9.26,0.0381,7.0408800000000005
2018-06-04 07:00:00,11.11111111111111,96.73,12.964,0.025400000000000002,16.09344
2018-06-04 08:00:00,11.666666666666666,92.89,9.26,0.0635,8.04672
2018-06-04 09:00:00,11.666666666666666,92.89,3.704,0.13546666666666668,5.36448
2018-06-04 10:00:00,11.38888888888889,94.81,7.1765,0.0762,3.218688
2018-06-04 11:00:00,11.481481481481481,94.17,8.025333333333334,0.025400000000000002,10.192512
2018-06-04 12:00:00,12.222222222222221,91.4,3.704,0.025400000000000002,16.09344
2018-06-04 13:00:00,13.333333333333334,86.71,9.26,0.0,16.09344
2018-06-04 14:00:00,14.814814814814815,80.68666666666667,8.025333333333334,0.0,16.09344
2018-06-04 15:00:00,16.11111111111111,75.2,11.112,0.0,16.09344
2018-06-04 16:00:00,16.666666666666668,72.33,5.556,0.0,16.09344
2018-06-04 17:00:00,19.444444444444443,63.21,5.556,0.0,16.09344
2018-06-04 18:00:00,19.814814814814813,63.93333333333334,5.556,0.0,16.09344
2018-06-04 19:00:00,20.555555555555557,60.78,2.778,0.0,16.09344
2018-06-04 20:00:00,21.11111111111111,58.94,5.556,0.0,16.09344
2018-06-04 21:00:00,21.666666666666668,56.77,5.556,0.0,16.09344
2018-06-04 22:00:00,21.11111111111111,60.89,0.0,0.0,16.09344
2018-06-04 23:00:00,20.555555555555557,65.35,0.0,0.0,16.09344
2018-06-05 00:00:00,19.444444444444443,65.56,0.0,0.0,16.09344
2018-06-05 01:00:00,17.77777777777778,77.97,0.0,0.0,16.09344
2018-06-05 02:00:00,16.666666666666668,83.36,7.408,0.0,16.09344
2018-06-05 03:00:00,15.555555555555555,89.48,0.0,0.0,11.265408
2018-06-05 04:00:00,15.0,93.07,0.0,0.0,9.656064
2018-06-05 05:00:00,15.0,89.44,0.0,0.0,9.656064
2018-06-05 06:00:00,15.0,83.46,0.0,0.0,16.09344
2018-06-05 07:00:00,15.0,75.02,5.556,0.0,16.09344
2018-06-05 08:00:00,15.0,75.02,0.0,0.0,16.09344
2018-06-05 09:00:00,14.444444444444445,80.67,0.0,0.0,16.09344
2018-06-05 10:00:00,15.555555555555555,72.13,7.408,0.0,16.09344
2018-06-05 11:00:00,17.22222222222222,57.99,7.408,0.0,16.09344
2018-06-05 12:00:00,18.333333333333332,56.12,5.556,0.0,16.09344
2018-06-05 13:00:00,20.0,52.51,7.408,0.0,16.09344
2018-06-05 14:00:00,21.11111111111111,47.06,7.871,0.0,16.09344
2018-06-05 15:00:00,21.11111111111111,51.07,8.334,0.0,16.09344
